ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"8.39.228.173","elite","AS399869","US","Visionary Communications LLC","121","Level 3, LLC","39593","socks4","1","91","3980","4352","2025-12-04T16:14:18.889Z","4875"
"81.89.211.55","elite","AS39863","AM","CrossNet LLC","71","N/A","1080","socks5","1","98","4297","4363","2025-12-04T16:14:18.896Z","4987"
"200.43.231.16","elite","AS7303","AR","Telecom Argentina S.A.","254","Telecom Argentina S.A","4153","socks4","1","95","3689","3895","2025-12-04T16:14:18.890Z","2497"
"185.216.18.138","elite","AS205500","RU","Mega Tec LLC","156","Mega Tec LLC","44550","socks4","1","85","3727","4372","2025-12-04T16:14:18.888Z","4586"
"89.237.33.1","elite","AS20485","RU","multi-origin SUTTK","68","N/A","51549","socks4","1","100","2781","2792","2025-12-04T16:13:55.170Z","2706"
"109.232.106.150","elite","AS50299","RU","CJSC Thyphone Communications 106","48","JSC Thyphone Communications Network Service Provider","52435","socks4","1","99","4289","4321","2025-12-04T16:13:55.174Z","4001"
"146.70.40.94","elite","AS9009","FR","M247 Europe","15","M247 LTD","10684","socks4","1","99","3308","3338","2025-12-04T16:13:55.171Z","1656"
"103.105.79.69","elite","AS136874","ID","PT. Garuda Media Telematika","166","Garuda","1080","socks4","1","98","3487","3551","2025-12-04T16:13:55.291Z","3938"
"181.3.67.102","elite","AS7303","AR","Telecom Argentina S.A.","313","Telecom Personal Bs","7303","socks5","1","41","4496","11005","2025-12-04T16:13:55.286Z","3303"
"147.161.163.17","elite","AS62044","ZA","Zscaler Switzerland GmbH","179","Zscaler Jnb3","10089","socks4","1","97","3515","3616","2025-12-04T16:13:55.173Z","5070"
"66.29.128.242","elite","AS22612","US","Namecheap, Inc.","153","Namecheap, Inc.","48518","socks4","1","45","1915","4281","2025-12-04T16:13:55.171Z","2898"
"77.192.165.202","elite","AS15557","FR","Societe Francaise Du Radiotelephone - SFR SA","23","N9uf PRO","5678","socks4","1","85","9351","11043","2025-12-04T16:13:55.172Z","4400"
